,Open,High,Low,Close,Volume,USDTHB,DXY,VIX
2026-02-27 12:00:00+00:00,5202.10009765625,5207.0,5199.60009765625,5204.2998046875,3699.0,31.06999969482422,97.73200225830078,20.57999992370605
2026-02-27 13:00:00+00:00,5204.5,5259.2998046875,5203.5,5240.7998046875,23821.0,31.049999237060547,97.83399963378906,21.06999969482422
2026-02-27 14:00:00+00:00,5240.7998046875,5254.2998046875,5230.60009765625,5240.89990234375,13563.0,31.030000686645508,97.78900146484376,21.3700008392334
2026-02-27 15:00:00+00:00,5240.7998046875,5265.0,5232.60009765625,5257.7998046875,17451.0,30.989999771118164,97.70999908447266,20.21999931335449
2026-02-27 16:00:00+00:00,5258.0,5276.60009765625,5240.60009765625,5246.89990234375,14051.0,31.030000686645508,97.6230010986328,20.15999984741211
2026-02-27 17:00:00+00:00,5247.10009765625,5254.5,5237.39990234375,5252.39990234375,9843.0,31.040000915527344,97.6439971923828,20.450000762939453
2026-02-27 18:00:00+00:00,5252.2001953125,5264.7998046875,5240.0,5263.0,8215.0,31.049999237060547,97.61699676513672,20.71999931335449
2026-02-27 19:00:00+00:00,5262.7998046875,5270.7998046875,5258.2001953125,5268.39990234375,4317.0,31.040000915527344,97.60800170898438,20.809999465942383
2026-02-27 20:00:00+00:00,5267.89990234375,5283.7998046875,5266.89990234375,5281.2998046875,5019.0,31.059999465942383,97.6510009765625,19.799999237060547
2026-02-27 21:00:00+00:00,5281.60009765625,5299.0,5247.89990234375,5247.89990234375,4487.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 02:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 03:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 04:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 05:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 06:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 07:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 08:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 09:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-02-28 10:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-03-01 02:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
2026-03-01 03:00:00+00:00,5247.89990234375,5247.89990234375,5247.89990234375,5247.89990234375,0.0,31.0,97.63099670410156,19.850000381469727
